Rule	Period	dx	dy	dz	Iterations
DUDULLRLLL	292386	69	69	0	13730398
UULRLLURUL	285388	168	0	0	6652195
LRLUURDUUL	284760	34	34	34	21162797
LRLUULDUUL	283344	32	32	32	26657349
LULLDULL	282354	94	94	94	24440408
LRLUULULUL	279156	236	0	0	5512367
LULLLLDULL	278958	32	32	32	112962744
LLUDUUUL	277254	33	33	0	40164392
UDLDLLLRUL	277182	82	82	82	39999413
RLULUUDLUL	276244	84	0	0	10108000
DURRLLUUUL	275724	60	0	0	14673686
RLRDDDDDRL	264384	46	46	46	15504661
DUDURLLRLL	263514	66	66	0	50596124
RLRDDURURL	259244	232	0	0	5617704
DDDUDDLLUL	255318	80	80	80	12355284
RLRDDLURUL	254886	124	124	124	9675572
URUUUUULLL	252784	58	24	6	13699647
UDURRRDUUL	245526	48	48	48	26408128
UDLLRLURUL	244614	64	64	64	12466886
UDLULULULL	242348	316	0	0	22395743
DUDUUULULL	241212	90	90	90	8742432
RDRDLDDDRL	239508	80	0	0	9547835
UUUDURRRUL	238036	48	0	0	13724547
DULLRUDUUL	234978	82	82	82	99632550
UULLLDULL	234638	46	46	0	29914599
LRLUULLLL	233300	67	53	12	22237501
RLDDUDUULL	233244	32	32	32	18544369
UULULLRLUL	231556	104	0	0	8718807
UDUUDRDRUL	225096	48	0	0	13053653
LUUULURUL	224940	68	68	68	28442955
RLRUUURURL	224666	103	103	0	7589329
RLDDUDLLUL	220236	92	92	92	9551581
UDUDLRLUL	219192	78	0	0	17303141
UDURRRDRL	217660	124	0	0	11681970
DLLDDDDDRL	216468	60	32	12	10773249
DUDULLUUUL	216192	70	70	70	13464960
LULDUL	215532	80	0	0	14832277
LDLLULLL	215324	20	0	0	65908103
UULRULUUUL	212724	108	0	0	7064936
LUULURLLL	212410	33	33	0	73096938
UUDULLUUL	209668	96	0	0	93219190
ULURLLLUUL	209340	20	20	20	25725405
DULLRLDRUL	209130	98	98	0	7567769
LRUUDRULL	206214	36	36	0	32024031
ULUUDLLUL	206166	35	18	15	32873528
UDURRUURL	203742	78	78	78	16011611
LRLUUURURL	203468	172	0	0	5364609
URUULUUUL	203374	54	54	0	114091945
UDUDDDLDRL	200444	164	0	0	5576917
DURDDUURUL	199276	92	0	0	8544923
DUDUURULLL	198216	92	92	92	30206802
DUDDULLRRL	197564	112	0	0	7658691
ULLURLLLL	197382	46	46	46	24515926
LDDDLDULLL	196060	72	0	0	62275129
ULULURLUL	194670	18	18	18	57843299
RLRDDLURL	194454	87	87	0	14169129
LRLRDLDRUL	190104	46	46	46	15763408
LRLRRUDDUL	189484	76	0	0	20351054
LRLLRUDLUL	189072	64	64	64	11238379
LULDUDLLUL	187812	76	0	0	9422847
LRLUURUULL	187284	38	38	38	13597892
UURDUUUUL	187234	33	33	0	32044316
DUDULRURLL	187222	79	79	0	8426463
LULLUDLUL	187156	36	24	6	29132671
RLRLLDRULL	183906	52	52	52	10931582
RLRUUUUDUL	183820	98	0	0	8206251
UDRUURULLL	180090	66	66	66	9202466
LDLLLULLL	179772	46	46	46	112952730
UDUDLULRUL	179294	66	66	0	28155019
