Rule	Period	dx	dy	dz	Iterations
LLURDLULL	26956	56	0	0	22887114
RLRLLLULL	26826	20	20	20	9393994
DUDURLDDUL	26756	28	0	0	4715116
UURLRRURLL	26538	14	14	14	15157938
DURLDLDUL	26478	24	24	24	8163576
LRLRRUUL	26444	56	0	0	4779930
DURDRRDULL	26158	27	27	0	4713169
RRRUURURUL	25860	32	0	0	46448365
UULUUURRL	25820	68	0	0	3392763
UULRLL	25700	33	9	6	25987492
UUULDRRUL	25516	40	0	0	5830592
RLRUUUL	25436	48	0	0	4931415
LRLLRDUUUL	25410	47	47	0	128489371
DUDDURRRL	25398	32	32	32	18859344
ULLULDULUL	25332	24	24	24	5005232
LRLDDULDRL	25244	88	0	0	6209603
LLDLLDULLL	25218	14	14	14	64489359
UDRDRRDUL	25144	26	0	0	8648302
UDULLLLDUL	25066	23	23	0	4947647
RLRUUULULL	24884	88	0	0	6347893
LRLRUURRLL	24880	68	0	0	3372340
LDLULLULL	24718	11	11	0	14048577
URULRLULRL	24714	34	34	34	4144389
LLULDLUL	24620	30	0	0	6202864
ULLUULLLRL	24552	12	12	12	7804895
ULUUULLURL	24444	12	0	0	80466641
LLDLDLUULL	24430	15	15	0	22306378
DUDULLLUL	24234	20	20	20	13798982
RLRUURRDUL	24192	26	26	26	4745364
DULDRDDDRL	24084	32	32	32	61348173
RLRUULUUUL	24036	26	26	26	64343114
UULULRULUL	23824	20	0	0	5261580
LLULLLDULL	23820	56	0	0	3477910
LRLRDDRUL	23820	32	0	0	6327272
RRURURRRL	23670	20	20	0	6373055
UUDULLLULL	23644	80	0	0	3215174
LLULLRULLL	23596	28	0	0	4438485
DUDRRURLLL	23422	44	44	0	3744009
LULLURULLL	23340	24	0	0	4759264
URULRURLL	23268	26	26	26	17114569
UULULRLUUL	23268	12	12	12	77620830
LLRLUURUUL	23220	44	0	0	4339623
LRLRRRUDUL	23172	36	36	36	3947281
RLDURLLUL	23160	28	28	28	6747522
DUDUDRRUUL	23136	42	42	42	3855965
DUDURLURUL	23100	64	0	0	7871356
UUUULRULL	23100	20	0	0	8496672
DUDDLLDULL	23066	24	24	0	44669414
LRLRDUUDUL	23058	48	48	0	3601476
UUDULRLRUL	23058	37	37	0	3948570
UURUURLUUL	22968	20	20	20	17498911
RLRLUDDUUL	22938	40	40	40	5897769
UDLLRRDULL	22804	92	0	0	3080908
LUUUUDUDUL	22708	36	0	0	3934973
RLRLLULRLL	22686	30	30	0	4772778
RUURUUL	22620	28	0	0	6192594
LRLDDUUDL	22590	28	28	28	20385865
DDUDLUDUUL	22566	18	18	18	75704270
LDLULULLLL	22538	14	14	0	6282078
LRUUDURDUL	22524	16	0	0	5758089
UDUUDRUUUL	22440	14	14	14	10170948
DUDUULLLRL	22392	16	16	16	6755627
DUDURLRLUL	22360	40	0	0	9828731
LRLDDRRULL	22332	52	52	52	3482690
ULUUDLULL	22254	21	21	0	15875926
LUULRUUULL	22174	29	29	0	4234415
RLDRUUDULL	22164	10	10	10	13020893
URULUURRLL	22066	20	20	0	8311610
RRURRRRRRRRD	22042	18	18	0	14189212
RLRLUDRULL	22026	27	27	0	4376905
LRDLULLL	21940	52	0	0	4413234
LRLDDULUL	21926	35	18	3	5726043
DURRLRDLUL	21892	64	0	0	5418420
DURRLLRRLL	21888	16	16	16	36803224
LLRLDRURLL	21876	28	28	28	15040977
DUDLLDLUUL	21858	26	26	26	7006328
RRLRRDLLUL	21852	64	0	0	3423547
ULLRLUURUL	21836	36	0	0	4141699
DLLRULDLUL	21720	28	28	28	30583045
DUDULDLUL	21660	46	0	0	8279084
DULLRRLURL	21574	35	35	0	3968509
LRLUURRL	21548	28	0	0	5997882
RLRDDRUDUL	21412	68	0	0	3238529
RUUUURUL	21372	19	14	3	8203366
UDULLLDULL	21370	47	47	0	5875335
LLLULDUUUL	21364	28	0	0	4252362
DRRLRDDRUL	21264	30	30	30	14303089
DUDULDLUUL	21234	38	38	38	3782415
DUDDRDURLL	21172	30	0	0	4118516
UUURDULLL	21092	20	0	0	7333351
LLRLUULUL	21050	40	40	0	8200190
LRUUDDULLL	21012	14	14	14	6164271
URUULRUUUL	20956	24	0	0	4525182
URULRUUUL	20880	26	26	26	6624372
UDURRDRURL	20834	42	42	0	3760107
RDRUDLRUUL	20716	40	0	0	63941686
UUDULLLUL	20610	30	30	30	6033993
LRDDUDDULL	20544	40	0	0	3664655
LRULLLLULL	20492	60	0	0	3338420
UULLULUDUL	20462	20	20	0	76137435
UDRURULUUL	20412	80	0	0	42809273
DDUDRURUUL	20316	10	10	10	7989959
LLDUUDLDUL	20246	16	16	0	7209791
DUDUDUUUL	20228	56	0	0	4396287
UDURRLURLL	20206	13	13	0	17114297
UDUDDRDUD	20136	16	16	16	13437555
LRLRDULULL	20076	30	0	0	4733022
LRLLULRRUL	19968	26	26	26	4305578
LLLLULLDUL	19948	24	0	0	4383885
DUDLLUUDUL	19866	18	18	0	5028478
UDULRUDLUL	19806	21	15	2	7380960
LDLULUDLUL	19796	28	0	0	21029806
RRLRRULL	19686	38	38	38	4840480
LRLUDLRRUL	19636	56	0	0	17620921
UDUDRLULL	19608	46	0	0	4710653
DUDULLULUL	19596	72	0	0	3127494
DUDLLLRRUL	19588	40	0	0	3857821
RLRUULDRUL	19536	20	20	20	6932912
DUDULRURUL	19460	68	0	0	3411007
RRRLDRDRL	19454	33	33	0	5559269
LRLRDURLLL	19340	68	0	0	3637351
DUDLLLLRUL	19270	23	23	0	4424760
DUDURRLL	19268	25	21	0	5966022
DUDRRUDDRL	19164	22	22	22	5796291
LRLDDDUUL	19042	30	30	0	5872375
RLUDRDLDUL	19004	44	0	0	3652206
DUDUULRDUL	18972	16	16	16	5149988
DUDLLRDDRL	18960	22	22	22	4452821
LRDULURDUL	18876	72	0	0	3113773
LDLULULUUL	18818	18	18	0	9244862
LRDDURRURL	18756	28	28	28	83728479
LLURULUULL	18642	18	12	2	5065813
UDUDLURUL	18468	40	40	40	4885472
RLURDRULRL	18244	40	0	0	3701846
ULLRUUULUL	18210	26	26	26	18802919
LLRLDULLRL	18164	52	0	0	4754088
LRLRUDRULL	18132	29	16	1	5363460
RRDRRRURUL	18102	18	18	18	7282443
DDRUDDDUUL	17964	28	0	0	15013721
UULLDULL	17952	8	8	8	12542186
UUDURLRLL	17934	22	22	22	6205149
UUULUURDUL	17832	24	0	0	16819624
UDURRDUUL	17820	20	0	0	38011568
LLUDUULDRL	17722	25	25	0	4119269
LDDDDDLLUL	17618	17	17	0	7479997
LRULLUULRL	17400	12	12	12	5976263
DDUDDRDURL	17394	26	26	26	4037187
LRDUULLDUL	17364	32	0	0	3743839
DULLRLUUUL	17338	42	42	0	5768706
LUUDDLULLL	17180	20	0	0	10049927
RLRLDURRUL	17154	24	24	24	4104300
URULUUULUL	17092	40	0	0	23412921
UULRL	17070	26	26	26	5875431
UDURRURLL	17010	24	24	0	6306240
LUUULDULL	16976	38	0	0	5195790
LRURRRRL	16974	26	26	26	5437544
DULULRULUL	16920	12	12	12	47110305
LRLUUDRULL	16788	42	0	0	15744416
UDULLDDULL	16674	20	20	20	4371821
RLRLDURLL	16584	32	32	32	5540497
DUDLLLDURL	16584	24	24	24	5574445
LRLRUDDLUL	16548	22	22	22	4184165
UDLURRULLL	16494	20	20	20	9207282
LLLRLLLULL	16434	16	16	16	4842633
DUDDURRRLL	16392	20	20	20	52058604
UURUURRUL	16388	48	0	0	11168785
UUDURLRLUL	16366	43	43	0	3707961
RLRDDUUULL	16350	24	24	24	4047548
UUDUULDDRL	16340	48	0	0	3288470
LRURUULL	16324	52	0	0	55288988
LRULLULLUL	16232	52	0	0	3253081
DUDUDULUUL	16230	21	18	5	9609633
RRLRUUURUL	16220	44	0	0	3353157
LRLLDDUULL	16164	24	0	0	4067962
UDURRLUL	15882	32	32	32	4735228
DULULUURUL	15882	20	20	20	4388171
LLRLLDDULL	15868	28	0	0	57199821
DUDUUURL	15816	30	30	30	5471891
UDLDDRRUL	15812	48	0	0	5425499
LRDDURUDUL	15732	68	0	0	3045597
DRDLRDRURL	15556	44	0	0	3521559
DUDULRDDUL	15480	16	16	16	4654231
UURRUUUUL	15372	28	0	0	8993059
LULDURLUUL	15336	8	8	8	12067533
UDRRLUULL	15318	21	17	6	13447621
LLULUURUUL	15264	14	14	14	5114986
UDUDLRLULL	15210	24	24	0	4177791
DURUUURURL	15210	20	20	20	6562407
LLRLDLURUL	15186	26	26	0	15186747
UDLUULLLLL	15180	36	0	0	3497602
RLRRLURRUL	15066	26	26	26	7816548
DUDRRRDDUL	15020	56	0	0	3860402
UDLDLRRURL	14996	48	0	0	5074061
LRLUULULRL	14994	40	40	40	3350860
DUDURRULLL	14908	80	0	0	2950825
LRLRDURUUL	14882	34	34	0	11363010
LLUURURURL	14860	32	0	0	4788436
UURDUUURUL	14826	22	22	22	7667968
RLDRURRRUL	14804	48	0	0	3246642
LRLRDDDURL	14772	60	0	0	4208748
LLRLUULLUL	14756	52	0	0	71667979
RRLRURRURL	14730	26	26	26	5092640
LULLDULUUL	14702	27	27	0	3745072
LRLUUDRURL	14696	30	0	0	11105158
ULRLULRULL	14652	36	0	0	4150409
LLLLDLDDUL	14592	10	10	10	7015120
LLLLULDUL	14582	32	7	5	4846511
UUULRULL	14556	20	0	0	5809731
LRLRDUUUUL	14406	14	14	14	5658238
LLRLDDDDUL	14382	22	22	22	24448322
UDRRLRDDUL	14364	52	0	0	3302520
DULULRRULL	14356	32	0	0	13224786
DLDLDDLULL	14324	44	0	0	3252981
DUDLLLDDUL	14316	14	14	14	4792700
LRULLLDUUL	14252	44	0	0	5335473
LRDDURRRL	14222	23	23	0	3888516
RLURUDDUUL	14208	24	24	24	58175695
UDURRLDRL	14202	36	8	8	4544769
UDURRRRULL	14184	26	26	26	3729698
LDDULUDULL	14180	16	0	0	4600099
UULULRUUL	14138	13	13	0	8258963
LULLURRLUL	14088	22	22	22	3976175
DUDULRUUL	14082	20	20	20	12711284
UDRUUURRRL	14076	36	0	0	3403159
LLLRLLULLL	14052	44	0	0	8039359
URUURURRLL	13992	18	0	0	4306134
LLLLUURLL	13980	20	20	20	10256896
LRLDDDRRUL	13956	68	0	0	2981072
RLULUDLULL	13936	24	0	0	57759159
DRRDLRRRUL	13924	20	0	0	4091218
DUDURDRURL	13908	37	19	2	3374380
UDLLRDLUL	13860	48	0	0	4358180
RLRLUUDULL	13792	52	0	0	3169112
DULUUDDDRL	13782	26	26	26	80017629
LRLRUUURL	13700	48	0	0	5217444
LLLLUDLUUL	13626	16	16	16	4437731
DUDLLDULLL	13588	68	0	0	2968814
UUDURRDULL	13572	40	0	0	3319331
DUDULLUUL	13572	16	16	16	14949661
DUDRRDDDRL	13558	23	23	0	3847141
UDLLRURRL	13440	22	22	22	57973513
RLRUULURUL	13428	40	0	0	3664262
ULULDLLULL	13394	17	17	0	4351879
LRLRDUURL	13332	60	0	0	4262597
DUDLLDURUL	13314	24	24	24	3798513
RLRUUDDRUL	13302	28	28	28	4011558
DUDLLULL	13236	20	20	20	5470229
RLRLDDUUUL	13212	22	22	22	3848850
ULUULDLULL	13212	14	14	14	4633631
UDUDRLLURL	13126	20	20	0	7240290
DURLRLLL	13116	68	0	0	3399923
LUULRUULLL	13074	22	22	22	8505276
RLRLUURUL	13020	60	0	0	5062193
RLRUULULUL	12852	38	0	0	6038337
DUDLLURLL	12822	32	32	32	4567039
RLRDDDLRUL	12766	26	26	0	3693303
UUURUUURUL	12726	10	10	0	11166513
DUDUDUDDRL	12558	24	24	24	3696422
LRDLLDRRUL	12540	52	0	0	3482360
RLURDDULLL	12428	48	0	0	67140596
LLRLUURUL	12372	17	17	4	6296383
RLDRRRUDUL	12348	20	20	20	4282870
DURRLRDDRL	12304	38	12	6	3275945
LRLDDURLLL	12292	32	0	0	3373991
DLLDULLLLL	12260	20	0	0	3979948
LRDDUDDURL	12258	20	20	0	64232147
RLRLUUDURL	12192	34	0	0	4145051
DURRLRRDUL	12168	32	32	32	5117735
LRULLLULLL	12140	36	0	0	3314263
LRLLRUURLL	12138	24	24	24	7384510
UURLULRRUL	12132	56	0	0	92817614
ULUUUUDUUL	12084	32	0	0	3446051
LUUDUUUUL	12052	32	0	0	51246555
UUDULUDLUL	11976	14	14	14	4434992
LLLDLUUUL	11942	12	12	0	7639388
ULLLLRDLUL	11890	14	8	4	108830364
DUDRRURURL	11880	20	20	20	4331102
DDLLLDLLUL	11772	28	0	0	15540593
RLRLRUUULL	11764	20	0	0	4351151
UDULLLUUL	11756	80	0	0	3270212
UUDUULLLLL	11754	28	28	28	5118749
UDULLULUL	11738	24	24	0	5060427
UUUURRURUL	11724	24	0	0	5160719
DUDUDUDRUL	11694	14	14	14	5583619
UDUDDDUULL	11692	36	0	0	15172044
LRDDUDLUL	11688	32	32	32	4401829
ULLRUUUUUL	11660	24	0	0	26869551
UDURRURLUL	11646	16	16	16	4259151
UDRDDUDUD	11628	60	0	0	7068574
DURDDUUULL	11604	16	16	16	4130485
DUDULLULLL	11592	26	26	26	3501192
LRLUUL	11588	80	0	0	3323281
ULULDDULLL	11586	18	18	18	5944251
RLRLLURDUL	11548	64	0	0	2943044
LUULDLUL	11548	32	0	0	4244308
LDLUDDLDUL	11434	18	18	0	16066320
DUDRRLRLUL	11432	40	0	0	3158362
LRDLLRRULL	11428	40	0	0	3156245
LRDLDDDDRL	11422	19	19	0	3897882
LUUUUDLUUL	11398	19	19	0	3990988
RDRDRLDDRL	11322	22	22	22	3661816
LUULLLDUL	11316	16	16	16	6132070
LRLRRULRRL	11280	26	26	26	3478485
LRULUUDDUL	11238	26	26	0	22711765
DUDLLUDDUL	11236	40	0	0	3524968
DLDLULLL	11232	24	24	24	4976935
UDRRLUULUL	11196	36	0	0	3274158
LULULRLLUL	11190	14	14	14	11833472
LRLRLDDDRL	11184	22	22	22	3914311
RRLRUURULL	11162	14	14	0	4435207
DULDRULUL	11160	26	26	26	4705639
DUDDLDULUL	11088	18	18	18	29994434
LLULUDDULL	11076	24	0	0	3546182
LRLDDRRUUL	11058	17	17	0	3974834
DUDDULLRLL	11020	48	0	0	42225777
LLUDUUUUL	11004	40	0	0	3949685
DUDRRDURLL	10930	24	5	5	3811505
LULUURLULL	10902	6	6	6	7249297
DURDLDUUUL	10860	14	14	14	4655288
UDUDDDRUL	10854	22	22	22	56407685
DRLLLDLLUL	10852	40	0	0	14427899
ULLRUUUL	10846	15	15	0	32966785
UDULLLDUUL	10824	22	22	22	4839305
LRULLURUL	10776	34	0	0	10235064
UDLURLLUL	10772	40	0	0	18449812
RLRLDDDDRL	10764	16	0	0	5764394
LULURUULLL	10756	40	0	0	3264282
RRLRRDLDUL	10748	68	0	0	2872657
LLLUUDUL	10740	24	0	0	4663748
LRULLRDUUL	10734	24	24	24	3705860
UDULLUDRUL	10714	28	28	0	3366340
LRULDRDLUL	10708	48	0	0	3065207
DRLRDRDDD	10692	28	0	0	133033282
LDDLLUULLL	10668	20	0	0	67891923
RDUDRRURLL	10666	27	27	0	8407158
DUDULLLRRL	10656	29	8	3	3345716
UDUDDRDURL	10650	24	24	24	3501783
LRLDDDDDRL	10638	25	25	0	4124558
UDRUURLULL	10588	76	0	0	31434142
URUUULRUUL	10580	28	0	0	3368947
UUUULLRRUL	10580	16	0	0	12127352
LRDRDDULUL	10554	8	8	8	5959356
DULLRULUL	10524	28	28	28	8573479
RRLRRDDDUL	10508	20	0	0	3685027
RLRDDDLLUL	10506	22	22	0	3575752
RLRUULLL	10484	68	0	0	5960070
LRLDDLUUUL	10484	60	0	0	13391766
UUULLDUUUL	10482	22	22	22	3654931
RLURUDDDUL	10434	21	6	1	7901867
DUDULLURUL	10402	17	17	0	3982089
UDRRLULL	10388	20	0	0	8420071
RUDURDUUL	10386	20	20	0	15082469
RRRURRL	10320	14	14	14	13901740
UDUDRURRL	10310	17	17	0	3879736
LRLUULRLL	10308	40	0	0	3682019
UUURRUULL	10270	11	8	1	22036644
ULURLUDLUL	10238	12	12	0	4499663
UDUDRURURL	10236	48	0	0	2986712
UDUDRDRULL	10230	24	24	24	3512137
URRLRURUUL	10194	12	12	12	4450217
RLRUURRURL	10186	21	9	6	4514713
UDUDDULDUL	10148	56	0	0	4256902
DUDLLDURL	10140	48	0	0	4026913
LLULDULUUL	10122	22	22	0	28270791
DURUULURLL	10100	56	0	0	3039494
DURRLRDDUL	10064	20	0	0	3656208
UDLUUULUUL	10060	44	0	0	3378918
UDUDDUUULL	10056	26	26	26	3374135
RLRDDULDUL	10028	52	0	0	2939704
DUDURRLLLL	10002	17	17	0	3841546
LLDULUULL	9980	20	0	0	5203232
LRLDDRLLUL	9964	20	0	0	3764130
DUDRRULRRL	9960	32	0	0	3266250
DUDRRDRRUL	9932	14	6	2	26768023
UDRRLRLUUL	9930	20	20	20	3643777
RRULRRRUL	9926	13	13	0	6638504
RLULUURDUL	9926	12	12	0	55129074
RURDUURRRL	9858	20	20	20	3654745
LRLUURRRL	9816	20	20	20	3604682
ULULDLULLL	9810	22	22	0	100048356
UDUDRLRLUL	9778	29	29	0	4081258
UDURRUUL	9752	30	30	2	3963428
DUDLLUUULL	9732	48	0	0	2962606
DDUDRUDDUL	9732	40	0	0	58602042
LRLLRUULRL	9708	14	14	14	4076972
DUDURRLLL	9676	56	0	0	3393545
DUDLLLUUUL	9660	18	18	18	3750075
ULLLLLULRL	9626	13	13	0	45170728
UDLDRRUUUL	9612	28	0	0	117439664
ULURLUDULL	9598	22	13	7	3488430
UDULLRULUL	9552	22	22	22	3477693
DUDLLUL	9552	18	18	18	4880365
RLURURULL	9530	22	22	0	5878053
LDLULUUUUL	9530	13	13	0	6412484
LRLRDDRRUL	9518	17	17	0	3765833
DUDDUDRRUL	9516	18	18	18	86304077
DUDRRUUDL	9492	14	14	14	4024015
UDRURLLURL	9484	44	0	0	6462642
DDUDLLDDRL	9476	64	0	0	3175787
RLDRDLURLL	9456	20	0	0	4598478
RRUDUURUUL	9446	23	13	6	3981967
LDLULLLDUL	9418	15	15	0	6443184
LRLUURDUL	9398	21	21	0	4831348
LDDDLDLULL	9396	4	4	4	80777390
RLRDDRLDUL	9390	22	22	22	3464246
RRLRDUDULL	9360	16	16	16	32338454
LRDLURLURL	9348	22	22	22	3524890
LRDRUDULLL	9332	44	0	0	4565823
RLURDUDLUL	9306	28	28	28	35980327
UDUDDUDURL	9306	18	18	18	4077192
RLRUDRLRUL	9302	18	18	0	3691010
LDDDDULL	9284	32	0	0	3827836
LLLULRULL	9278	11	8	1	8896374
LLDUUUDULL	9274	15	15	8	17703570
ULLURUULLL	9264	20	0	0	42660525
DUDLLRULRL	9244	52	0	0	4015627
LRLRUUURLL	9232	30	0	0	3199295
DULDDUURUL	9228	20	20	20	3538818
RLDLDDLUUL	9228	20	0	0	3657865
UDRURRLULL	9214	16	10	10	4350392
DUDURRDUD	9210	22	22	22	5088860
DULUUDULLL	9164	40	0	0	3321625
UULUUURURL	9138	15	15	0	10550821
DUDRRULDUL	9108	26	26	26	3873389
LRDLUULUL	9078	17	17	0	5320521
LULDUUDLUL	9066	26	26	26	3384460
RDUDLRDDRL	9062	14	14	0	40577905
RLRDURL	9060	24	24	24	16224677
LRURUURRLL	9048	16	16	16	3797765
DRDLRDRUL	9046	9	9	0	14465007
DLLLDULL	9030	28	28	28	17811785
RLURUDRDUL	9030	12	12	12	124039003
UUULULLRUL	9024	16	16	16	109498200
DDRUDDLUL	8992	24	0	0	4825336
UDUDDLURLL	8988	20	0	0	3516389
LRLUUDLDUL	8982	30	30	30	130172811
DUDRRUUUL	8982	14	14	14	5787917
LULDDLULLL	8970	16	16	16	4064112
UDULLURUL	8940	44	0	0	3549645
URLRLURRLL	8938	18	18	0	24359838
UDRURRULUL	8920	18	15	13	23300876
DDLDLDDDRL	8916	14	14	14	4456251
UDLULRDUL	8900	28	0	0	12960794
UDUDRLUUL	8892	20	0	0	13419616
UULUUDUUL	8882	16	16	0	5347541
UUDURDRULL	8862	28	28	28	3859731
UDUDLULUUL	8836	48	0	0	2926627
RLUUDURUUL	8822	23	23	0	3370007
DRDLRLLRUL	8802	10	10	10	19504404
RLRUUULLRL	8764	28	0	0	3565719
UDUDRRULL	8698	35	35	0	3836934
LRLUULLULL	8694	10	10	10	4501629
RRRURRRL	8692	16	0	0	4941167
LRLDDRULL	8672	52	0	0	7552616
LRDDUUDUUL	8658	16	16	0	3784589
LRLUURLUUL	8654	19	19	0	3523725
LRLRRRUL	8652	44	0	0	3878306
LRLUURRRUL	8644	26	0	0	3250176
UDUUDRRUUL	8620	36	0	0	11899750
UDURRDRDUL	8610	20	20	20	3699415
RLRLUURRRL	8604	52	0	0	3036048
UDUDDLLURL	8604	48	0	0	2928958
RLUUDDLUUL	8604	22	22	22	27973923
UDLDDDRULL	8592	18	18	18	68615411
LDLULLUULL	8562	12	12	12	53083832
UDURRLDURL	8546	11	11	0	4235740
DURRLRRL	8526	12	12	12	5685029
LDLDLLDDUL	8524	22	0	0	10008980
DLLLDLLLUL	8494	14	13	9	4055301
LLRLDURL	8484	14	14	14	13383839
LRLRUDDUUL	8472	32	0	0	3114074
UUDURDLDUL	8458	24	24	0	3305963
LRDLDDULLL	8442	16	16	16	4591897
UDLDRUL	8436	28	0	0	55879519
UDLDRDDLUL	8428	32	0	0	128974544
RLULUULLUL	8356	12	0	0	4117573
LDDULLDDRL	8340	16	0	0	9096495
DDUDLRDLUL	8334	14	14	14	12411834
LRLUURULL	8332	32	0	0	4236605
ULLULLDLUL	8300	28	0	0	3173427
DURDRDLUUL	8276	36	0	0	4499461
RRRURRRRUL	8260	16	0	0	4882867
UDUDRURULL	8252	52	0	0	2863987
DURDRLULLL	8246	29	29	0	3249084
UDUULURRLL	8244	14	14	14	5044417
UDRRLLRRUL	8244	12	0	0	4045772
RLRLLURRLL	8226	30	30	30	3131917
RRUURUUL	8226	14	14	14	83442763
LLRLUDULL	8220	24	0	0	4533411
DUDRRRUUUL	8214	26	26	26	3319818
LLRLURDDRL	8190	8	8	8	4788177
RLURRUURL	8172	80	0	0	3037265
RLRUURLLUL	8164	40	0	0	2994795
DLDLLULLLL	8164	16	0	0	3705878
RLURURURLL	8148	60	0	0	79203598
DUDUDLUUUL	8148	36	0	0	3054857
DULURLLRRL	8140	44	0	0	12248328
LRLUULURLL	8108	36	0	0	3019580
LRLUURRLLL	8106	8	8	8	4763393
UDRURRLUL	8084	40	0	0	3679786
LDDULLDUL	8076	12	12	12	7877993
UDUDLURUUL	8070	28	28	28	3151713
UDUDLRRULL	8052	28	0	0	3159308
DURDDRULLL	8016	32	0	0	3070273
ULURLULDUL	8012	28	0	0	3157124
UDULLUULRL	7996	40	0	0	3780615
RLRDDURDUL	7980	28	0	0	4000297
DUDDRDUUL	7964	32	0	0	4528611
DLLDDDLDRL	7962	10	10	10	4502337
UDUDLRUL	7956	22	0	0	92928639
DRDLRRRUL	7948	28	0	0	4100023
DUDULRLLL	7940	36	0	0	3646718
LULRDUULUL	7928	30	0	0	4631078
RRURLRUUUL	7924	32	0	0	3214861
LRUUDDUUUL	7920	8	8	8	36864940
LDLUUULULL	7902	10	10	10	114007359
LRLRUULRLL	7884	24	0	0	5710181
UDRURRUULL	7866	24	24	24	4983236
RRRRURRRUL	7866	5	5	0	9163886
DDDUDDRUL	7848	26	26	26	4052186
DDUDRURRL	7842	20	20	20	12012935
RRRRRUUL	7842	6	6	6	8638844
DULULRRLUL	7830	26	26	26	3243916
UUDULDUUL	7812	20	0	0	4671587
DUDULURLLL	7806	26	26	26	3177517
LRDLDURULL	7800	22	22	22	3428054
LDLLDLDULL	7794	10	10	10	4286710
ULLUUUURL	7780	20	0	0	11859620
RDLRDLRURL	7764	28	0	0	3137161
UDUUDLULRL	7752	20	20	20	79582930
UDLLRURLUL	7732	32	0	0	3055940
RLULUULULL	7732	28	0	0	6927606
UDRRLRUDUL	7716	20	20	20	7586335
RDRUDRRDUL	7710	12	12	12	3940608
UDUDDUDULL	7700	36	0	0	7675388
ULULUDLULL	7700	16	0	0	125285229
UDLLRDLDUL	7698	22	22	22	4084993
DLDRDDDDRL	7698	8	8	8	68266931
ULLLRLUULL	7668	20	0	0	3679917
LLRLUURLL	7662	22	22	22	4288381
LLRLURULLL	7622	10	10	0	4230774
LRLDDLRUUL	7620	32	0	0	3068157
DULRRURRUL	7606	23	2	1	3255753
LRLRULULUL	7604	52	0	0	2835475
LRLLUDULLL	7596	40	0	0	2933401
LRLRDUULL	7584	14	14	14	8519496
RLRRLULURL	7578	12	12	12	23390502
UDRRLRLULL	7556	64	0	0	2780804
UDLULLLRUL	7554	16	16	16	10531422
UDRUUDUL	7548	28	28	28	4274665
RLUDDDLUUL	7542	20	20	20	3351407
LRUUDUURL	7540	30	0	0	4137547
RLDLDRUDRL	7520	36	0	0	3073928
DLDDDDLUL	7504	22	0	0	5634219
RUURLUUUL	7498	22	7	5	4265035
UDUDULULLL	7486	16	16	0	49379609
DRDLRLDDUL	7476	40	0	0	65854225
URLRULLLUL	7476	24	0	0	13703262
LLDLLDRUL	7460	14	0	0	18053190
RLRLUURULL	7458	24	24	0	6040979
RLRLLDDUUL	7452	16	0	0	4865174
RLRRLDUUL	7442	27	27	0	4180566
UURURUURL	7442	14	14	0	5243197
RLRLDURUL	7416	10	10	10	6419570
UDURRLLL	7394	30	30	0	3609431
RLDRDRRULL	7392	20	20	20	59581435
UDLLRDLLUL	7372	36	0	0	2964964
DULULLULUL	7368	26	8	2	26593845
RLUUDDURUL	7368	22	22	22	3265831
URUURURL	7344	12	12	12	63110736
RLDLDDLUL	7330	17	17	0	4731193
LLRUDUUDUL	7326	21	18	3	3430572
UUDULUURL	7316	48	0	0	42528865
DUDULLLLRL	7310	23	2	1	3219568
LLUULDUUL	7310	12	12	0	5644963
DUDUURLDUL	7292	64	0	0	4951528
UUDLRLLRUL	7278	16	16	16	3681406
DUULULLULL	7276	12	0	0	9908993
UDURRRRLLL	7272	18	18	18	3731160
DUDURLUULL	7268	40	0	0	2964288
UDRRLULRRL	7218	24	24	24	6043762
LRULLLUUL	7204	24	0	0	4072166
RLUUDDLUL	7196	36	0	0	3541178
UDLURUDURL	7160	16	11	5	3559434
DUDUUUDDUL	7128	20	20	20	111623258
LRRRULRLLL	7124	28	0	0	133226071
LRDRUULDRL	7098	18	18	18	4169637
LDLUUULLUL	7084	12	0	0	3882516
UDLURLRURL	7036	52	0	0	3037855
DRDDURDRL	7036	24	0	0	4358183
RLRLURUDUL	7022	12	12	0	3831571
LRLRDLURL	7006	14	14	0	5545676
DURURLULLL	6998	23	7	0	3859619
RLRLURURUL	6988	40	0	0	2902614
LRLDDLRUL	6988	16	11	3	4902346
DLDRLLDDUL	6988	12	0	0	4020792
UURDUUUUUL	6984	10	10	10	7198699
ULLRUULLUL	6972	14	14	14	3621278
LLURDLUL	6966	18	18	18	4236447
RLDRRLRUUL	6960	24	24	24	3183593
LLLUUULRLL	6948	16	0	0	105234273
UDULLRDLUL	6942	13	13	0	3702422
DULLRLDRL	6908	28	0	0	3908387
DURDRLRUL	6888	18	18	18	4653354
RLRRLDURLL	6884	32	0	0	2996495
LRLRRRURUL	6882	18	18	18	11095340
RLULUULRUL	6870	15	15	0	9598497
RLUUDLURUL	6852	40	0	0	2895024
LRDDURDDRL	6828	24	24	24	3180385
ULLUURUUL	6818	8	8	0	7216904
LRULDDLULL	6816	24	24	24	3155404
RUURDUDUL	6814	7	7	0	7484778
RRLRUDURUL	6804	48	0	0	3535394
DUDDURDDUL	6798	30	30	30	3645416
LLUDLULRRL	6788	40	0	0	5554368
UUURUUUUL	6772	24	0	0	3971092
LRLUUULRUL	6762	12	12	0	3782593
DLDRLLLULL	6756	32	0	0	4166200
UURURUUULL	6752	12	0	0	5425180
